batch_size | beta | epoch | initializer | rbf_neurons,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_betas,param_epochs,param_initializer,param_rbf_neurons,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
16_2.0_20_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,125.50102535883586,1.261680968719557,1.2915360927581787,0.14024763157704387,16,2.0,20,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 16, 'betas': 2.0, 'epochs': 20, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.4184499979019165,0.4175499975681305,0.2981500029563904,0.3780499994754791,0.05649902407984878,123
64_1.0_10_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_10,13.920408646265665,0.09474383369689485,0.5874745845794678,0.12187097280753212,64,1.0,10,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,10,"{'batch_size': 64, 'betas': 1.0, 'epochs': 10, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 10}",0.26554998755455017,0.382999986410141,0.4599500000476837,0.3694999913374583,0.07993550990039601,124
64_2.0_10_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_50,169.62434124946594,0.6890804391764769,1.6207187175750732,0.10380649948722313,64,2.0,10,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,50,"{'batch_size': 64, 'betas': 2.0, 'epochs': 10, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 50}",0.36134999990463257,0.3573499917984009,0.38885000348091125,0.36918333172798157,0.01400198794435018,125
64_2.0_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_20,115.79548891385396,0.6303624339670751,0.7304458618164062,0.007892578681752497,64,2.0,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,20,"{'batch_size': 64, 'betas': 2.0, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 20}",0.43985000252723694,0.28824999928474426,0.3734000027179718,0.367166668176651,0.06204719220297276,126
32_2.0_20_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,108.9750341574351,4.8434338779253086,0.8644758065541586,0.06663600476953443,32,2.0,20,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 32, 'betas': 2.0, 'epochs': 20, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.1140500009059906,0.478549987077713,0.5006499886512756,0.3644166588783264,0.17726571408587977,127
16_2.0_10_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,94.4077049891154,2.514848772957313,1.1031636397043865,0.006399701031463471,16,2.0,10,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 16, 'betas': 2.0, 'epochs': 10, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.3785499930381775,0.27674999833106995,0.3828499913215637,0.3460499942302704,0.04903393090524954,128
64_2.0_20_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,103.36236031850179,3.655629222559416,0.7455247243245443,0.040597047307347416,64,2.0,20,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 64, 'betas': 2.0, 'epochs': 20, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.3510499894618988,0.37975001335144043,0.2688499987125397,0.33321666717529297,0.04699804144543731,129
64_1.0_20_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_10,27.97804586092631,0.18173978946640484,0.6786228815714518,0.12331317705306465,64,1.0,20,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,10,"{'batch_size': 64, 'betas': 1.0, 'epochs': 20, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 10}",0.25165000557899475,0.5287500023841858,0.21664999425411224,0.3323500007390976,0.1396089077454789,130
32_2.0_10_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,85.69222402572632,2.5904783494254255,0.8309009869893392,0.011245128174821123,32,2.0,10,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 32, 'betas': 2.0, 'epochs': 10, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.35839998722076416,0.35269999504089355,0.26269999146461487,0.3245999912420909,0.043831723344713795,131
64_2.0_10_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,61.43869582811991,2.2068943751236625,1.871724049250285,0.1910654478121184,64,2.0,10,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 64, 'betas': 2.0, 'epochs': 10, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.34950000047683716,0.3606500029563904,0.25714999437332153,0.32243333260218304,0.046386178448265224,132
